#OTU ID	SZ.SC4	SZ.SC7	SZ.SC5	SZ.SC2	SZ.SC1	SZ.SC6	SZMB12	SZMB7	SZMB6	SZMB5	SZMB9	SZMB10
813945	0	0	19	0	0	1	0	0	0	0	0	0
810399	0	0	0	0	0	1	0	0	0	0	0	0
808852	1	0	0	2	0	0	0	0	0	0	0	0
808380	2	0	0	0	5	0	2	2	5	0	3	5
808794	0	0	0	0	0	0	1	13	5	1	0	6
809101	0	0	0	0	0	0	0	0	0	0	0	1
811108	3	16	12	41	23	3	1	4	0	1	2	0
810955	0	0	20	0	0	53	0	0	0	0	0	0
810893	0	0	0	0	1	0	2	0	6	1	0	0
810759	0	0	0	0	0	0	1	0	0	0	0	0
812218	0	0	0	0	0	0	2	20	3	2	1	1
811589	0	0	0	1	0	0	0	0	0	0	0	0
811513	0	0	0	0	1	0	0	0	0	0	0	0
811667	0	0	0	0	0	0	1	0	0	1	0	0
816470	0	0	0	1	0	435	0	0	0	0	0	0
816299	0	0	0	0	2	0	0	0	0	0	0	0
815828	0	0	0	0	0	0	0	0	2	0	0	0
818289	0	0	0	0	1	0	0	0	0	0	0	0
817550	0	0	0	0	0	5	0	0	0	0	0	0
817339	0	0	0	0	1	0	0	0	0	0	0	0
817995	0	0	0	0	0	0	0	0	0	0	1	0
840291	706	0	429	26	1	6316	0	0	0	0	0	0
839235	170	16	557	90	0	996	0	0	0	0	0	0
818516	0	1	0	1	0	0	0	0	0	0	0	0
834514	0	0	0	0	23	0	0	0	0	0	0	0
820884	3	2	2	11	1018	0	0	0	0	1	0	0
819267	2	3	7	1	0	0	2	6	18	3	1	0
818777	0	0	0	2	0	0	0	0	0	0	0	0
819081	0	0	0	3	1	0	0	1	12	10	0	0
819999	4	7	8	0	0	10	0	0	0	0	0	0
819347	0	0	1	0	0	0	0	0	0	0	0	0
820272	0	0	0	0	0	0	0	0	0	1	0	0
831729	0	0	215	0	0	17	0	0	0	0	0	0
827702	0	0	0	0	0	0	0	3	6	35	11	27
823634	0	0	1	371	0	1	0	33	0	1	0	0
823024	0	0	1	0	0	0	0	0	0	0	0	0
821465	0	20	0	0	0	0	0	0	0	0	0	0
822271	0	0	0	2	0	0	0	0	0	0	0	0
821678	0	0	0	0	0	0	3	0	3	0	0	0
821644	0	0	0	0	0	2	0	0	0	0	0	0
822733	0	0	0	0	0	0	0	0	0	0	0	1
823903	0	0	0	0	0	0	0	1	0	2	4	1
824567	2	0	0	0	0	0	0	0	0	0	0	0
824302	0	0	0	0	0	2	0	0	0	0	0	0
825661	0	0	0	3	0	0	0	0	0	0	0	0
825063	0	0	0	0	0	0	2	0	0	0	0	3
824678	0	0	0	0	0	0	0	0	0	0	0	3
826298	0	0	0	0	0	1	0	0	0	0	0	0
827794	0	0	0	0	0	0	1	0	0	0	0	0
828776	0	0	0	4	0	0	0	1	0	1	0	0
828333	14	1	2	39	0	0	0	2	1	0	0	1
828230	0	0	0	1	0	0	4	2	0	0	2	0
82971	0	0	0	1	0	0	0	0	0	0	0	0
833381	0	0	0	0	0	0	0	4	0	0	0	0
831922	0	0	0	0	0	0	0	0	1	0	1	0
833022	0	0	1	0	0	0	0	0	0	0	0	0
832674	0	1	0	0	0	0	0	0	0	0	0	0
833795	1	4	0	3	0	0	0	0	0	0	0	0
834766	39	0	5	6	0	22	0	0	0	0	0	0
834677	0	0	0	0	0	0	2	0	0	0	2	3
836583	4	0	2	3	0	17	0	0	0	0	0	0
835928	2	0	21	5	0	0	0	8	0	0	0	0
834840	0	0	0	0	0	0	0	1	0	0	0	0
839233	0	0	0	0	0	0	0	1	0	0	0	0
838685	0	0	0	0	0	0	0	1	0	0	0	0
837605	1	0	0	0	0	0	0	0	0	0	0	0
837640	0	0	0	3	0	0	0	0	0	0	0	0
838281	0	0	0	0	0	0	0	1	0	0	0	0
837859	0	0	0	0	0	0	0	0	0	1	0	0
839215	0	0	0	1	0	0	0	0	0	0	0	0
839282	0	26	6	17	8	1	0	0	0	0	0	0
839964	2	0	0	0	0	0	0	0	0	0	0	0
839610	0	0	0	0	0	0	0	1	0	0	0	0
851865	1	1	1	1	2	1	540	918	626	285	20	57
843808	2	2	0	0	0	0	8	28	22	13	11	6
842598	0	67	2	21	0	3	0	0	0	1	167	1
842193	0	0	2	0	0	0	0	0	0	0	0	0
841724	0	0	5	0	0	5	0	0	0	0	0	0
842594	0	0	0	0	0	0	0	0	0	0	0	1
842714	3	0	1	2	7	0	0	0	0	0	2	0
843569	0	0	0	0	0	0	0	0	0	2	0	0
850066	0	0	0	0	0	0	7	1	1	5	9	0
846464	0	0	0	0	0	0	1	0	0	0	1	0
845178	0	0	3	0	0	11	0	0	0	0	0	0
844501	0	0	0	0	0	0	0	1	0	1	0	0
844940	0	0	1	1	0	0	0	0	0	0	0	0
846141	0	0	0	0	0	0	0	0	0	0	1	0
84779	0	0	0	11	0	0	0	0	0	0	0	0
846710	0	5	56	4	1	98	0	0	0	0	0	2
847728	0	0	0	0	0	0	2	0	0	0	0	1
846798	0	0	0	0	0	0	3	3	0	0	0	0
849440	1	1	0	2	14	0	0	0	136	872	0	240
847934	0	0	0	1	0	0	1	0	1	2	0	1
849761	0	0	0	1	0	0	0	0	0	0	0	0
851794	0	0	0	1	1	0	0	0	0	0	0	0
850841	0	1	0	0	0	0	0	0	0	0	0	0
851704	0	0	0	0	1	0	0	0	0	0	0	0
967275	0	0	90	0	0	2790	0	0	0	1	1	0
866255	0	0	0	0	0	321	0	0	0	0	0	0
865090	0	0	0	1	0	0	0	0	302	180	0	0
85903	1	2	0	0	1	0	5	6	3	7	0	12
85658	0	0	0	0	0	0	0	1	0	1	0	0
854050	0	0	1	0	0	0	0	0	0	0	0	0
